b2cb03625267441aa960426630af16eb,7c4d87f99ced4f6fa7bf0f968c72d279,A相
aa59e17ddb6e4362b26b3e76feae1b85,7c4d87f99ced4f6fa7bf0f968c72d279,B相
8dcccfc0e9c24be78262f4e1c45b012f,7c4d87f99ced4f6fa7bf0f968c72d279,C相
e6371b0aee224c6b974bbe855e2d7500,757fd1da9a994fd4a5658fdc011e34ae,35106刀闸
a7c86456adf34670ac2125ae5045c77f,e6371b0aee224c6b974bbe855e2d7500,A相
f853cf0359be484795f7c3477bb70614,e6371b0aee224c6b974bbe855e2d7500,B相
5d9a4b0ca18f487687d89a3092ecbb7b,e6371b0aee224c6b974bbe855e2d7500,C相
218d481b33b248f4a6df04b69aaa08f8,757fd1da9a994fd4a5658fdc011e34ae,351067接地刀闸
ec6b05accd894399bbc096a9efffcc2e,218d481b33b248f4a6df04b69aaa08f8,A相
915bc17b3ec44552935aa55d576b08f1,218d481b33b248f4a6df04b69aaa08f8,B相
aba2fd8ee2b345efb903c9c63afdd04c,218d481b33b248f4a6df04b69aaa08f8,C相
0b72ad2cf1874169a6e9f1a70522dcc1,db032c309f0b41e889c709ef08b9cd16,本体
dded00738def4288ad27edb65edf7feb,0b72ad2cf1874169a6e9f1a70522dcc1,中性点
49fbd97d3bbb4f24846bc94145ce5671,dded00738def4288ad27edb65edf7feb,电抗器
ee13e3ede7b8419392bf1b660baba0af,dded00738def4288ad27edb65edf7feb,避雷器
7ffcc818c4e44f10b6b7b99f13348089,dded00738def4288ad27edb65edf7feb,510接地刀闸
026cd0e84d8048fdbb3ec24934395f3f,0b72ad2cf1874169a6e9f1a70522dcc1,A相
e60f2bf53d974a208cd6c0d313777480,026cd0e84d8048fdbb3ec24934395f3f,本体
9af79e9bedbe40bf8ee1f219bcf25138,026cd0e84d8048fdbb3ec24934395f3f,高压侧套管
9709612969774b25b510875aab76287a,026cd0e84d8048fdbb3ec24934395f3f,中压侧套管
a7fbadf5c84c46ed9106945dcc0cc250,026cd0e84d8048fdbb3ec24934395f3f,低压侧套管a
4b2b1c5e65024948900837729f33d744,026cd0e84d8048fdbb3ec24934395f3f,中性点套管
823618a0900b48a388e6e1481ee5bd21,026cd0e84d8048fdbb3ec24934395f3f,低压侧套管c
150eddc65a7f44709a14ca94c178c352,026cd0e84d8048fdbb3ec24934395f3f,表计设备
b2d70853c3c04976ae48e6f586c5cae4,026cd0e84d8048fdbb3ec24934395f3f,油枕
a797157aee6245a8859af0a742f82a13,0b72ad2cf1874169a6e9f1a70522dcc1,B相
63fe0bc89c7842e4885067777eda57fa,a797157aee6245a8859af0a742f82a13,低压侧套管a
88b1a1c9038f4661badcedcae691c76d,a797157aee6245a8859af0a742f82a13,中性点套管
b5206e6704e94dd79b232eb1b2543970,a797157aee6245a8859af0a742f82a13,高压侧套管
502df8b3e95540c797af1c5b53a7edf5,a797157aee6245a8859af0a742f82a13,中压侧套管
93685d8f36db47dcaed24240fa59e8de,a797157aee6245a8859af0a742f82a13,低压侧套管b
291899f8199a44b99752ea635515c31a,a797157aee6245a8859af0a742f82a13,本体
39dde924ff68442c96267feaec119a1e,a797157aee6245a8859af0a742f82a13,表计设备
53537c1f0e29451eaa4ecb52bdbd83b1,a797157aee6245a8859af0a742f82a13,油枕
6be21cf6593d40689e6317a859572bee,0b72ad2cf1874169a6e9f1a70522dcc1,C相
d9cfb26163d74f67a4f2d1262f047c1c,6be21cf6593d40689e6317a859572bee,低压侧套管b
4a435c8902794e23b4451ffc3108b671,6be21cf6593d40689e6317a859572bee,中性点套管
4ad85f6ffdd149268f3fbcc7f23812d3,6be21cf6593d40689e6317a859572bee,高压侧套管
63971ae1b6c441db88c5ca75f452bbfa,6be21cf6593d40689e6317a859572bee,中压侧套管
13f24a7633154e8ab7c992d7514610d9,6be21cf6593d40689e6317a859572bee,低压侧套管c
6162ffa9127449759f71b8a617d13acb,6be21cf6593d40689e6317a859572bee,本体
14c80ac8a60f4530bc82dd06ecd0f6e2,6be21cf6593d40689e6317a859572bee,表计设备
d0c64fd09bcd4bd8a14e637b4656568e,6be21cf6593d40689e6317a859572bee,油枕
b0fd9cd72651409ab16ae12264242710,0b72ad2cf1874169a6e9f1a70522dcc1,端子箱
8c9c9a61b49146c29f0feee0fb843756,b0fd9cd72651409ab16ae12264242710,汇控柜
0cb69ea949264c8bb754d25be976451c,b0fd9cd72651409ab16ae12264242710,汇控柜2
3874157b449f43468898c69d99c418ff,0,2号主变
c4efc96e2d97432189ebaf75be873008,3874157b449f43468898c69d99c418ff,35kV侧
6f65c3b4afd4438cb16299c88e94304e,c4efc96e2d97432189ebaf75be873008,避雷器
699b8e40e2ca475293e53c31e32c1fd3,6f65c3b4afd4438cb16299c88e94304e,C相
3697e89ca7cc4f5fba097042a3e38415,6f65c3b4afd4438cb16299c88e94304e,B相
df975a9795844f7a8da910b1d9a4dcce,6f65c3b4afd4438cb16299c88e94304e,A相
d7eb052e0d9b4d4e96215517ada08679,c4efc96e2d97432189ebaf75be873008,3520开关
693b240ce45e4aa6a4522112ce96810f,d7eb052e0d9b4d4e96215517ada08679,A相
1ca4a62a122549b093d14f60cf96c066,d7eb052e0d9b4d4e96215517ada08679,B相
1bb2c290eff14d1c98b75d73e08f263d,d7eb052e0d9b4d4e96215517ada08679,C相
0a99ae8126da411bac2b6890ad680134,d7eb052e0d9b4d4e96215517ada08679,本体
1c8f10f368d2487ba5ed2a245a208b30,c4efc96e2d97432189ebaf75be873008,3520电流互感器
f65eb9f19b3a4371ba348e688010a2f7,1c8f10f368d2487ba5ed2a245a208b30,A相
e961104924704b8f802c1711eb4af366,1c8f10f368d2487ba5ed2a245a208b30,B相
4fef2510f3ba4f64b80ecee356c9599c,1c8f10f368d2487ba5ed2a245a208b30,C相
